order_id,sku,qty,amount,fail_at,comp_fail_at
ORD000100,WIDGET-A,1,93.76,,
ORD000101,SENSOR-T1,6,1769.82,,
ORD000102,ADAPTER-USB-C,2,419.76,,
ORD000103,BATTERY-AA,10,1152.1,,
ORD000104,BATTERY-AA,7,201.88,,
ORD000105,BATTERY-AA,10,807.0,,
ORD000106,BATTERY-AA,4,885.04,,
ORD000107,PANEL-40W,10,3455.7,,
ORD000108,MODULE-Z,3,420.09,,
ORD000109,GIZMO-PRO,4,1263.04,,
ORD000110,WIDGET-B,3,1073.43,,
ORD000111,WIDGET-B,5,837.0,,
ORD000112,CABLE-2M,9,2881.62,,
ORD000113,CABLE-2M,1,56.5,,
ORD000114,MODULE-Z,6,383.16,,
ORD000115,MODULE-Z,9,3595.14,,
ORD000116,WIDGET-B,8,482.8,CREATE_SHIPMENT,
ORD000117,GADGET-X,2,194.98,,
ORD000118,SENSOR-T1,2,480.64,,
ORD000119,ADAPTER-USB-C,2,621.18,,
ORD000120,ADAPTER-USB-C,7,1510.67,,
ORD000121,PANEL-40W,6,150.18,,
ORD000122,GIZMO-PRO,3,525.06,,
ORD000123,MODULE-Z,7,2592.17,,
ORD000124,WIDGET-B,9,2889.81,,
ORD000125,WIDGET-B,7,1655.36,,
ORD000126,PANEL-40W,6,1954.98,,
ORD000127,WIDGET-B,3,988.68,,
ORD000128,MODULE-Z,9,2556.18,,
ORD000129,GADGET-X,7,690.13,,
ORD000130,MODULE-Z,5,990.8,CHARGE_PAYMENT,
ORD000131,PANEL-40W,1,108.2,,
ORD000132,SENSOR-T1,6,612.6,,
ORD000133,GADGET-X,9,442.8,,
ORD000134,ADAPTER-USB-C,4,1145.92,,
ORD000135,PANEL-40W,1,63.61,,
ORD000136,GIZMO-PRO,5,942.95,,
ORD000137,GIZMO-PRO,7,168.7,,
ORD000138,SENSOR-T1,6,1374.12,,
ORD000139,BATTERY-AA,10,3416.3,,
ORD000140,ADAPTER-USB-C,2,457.56,,
ORD000141,WIDGET-A,7,2614.22,,
ORD000142,ADAPTER-USB-C,3,1035.48,,
ORD000143,PANEL-40W,1,183.24,,
ORD000144,SENSOR-T1,9,1543.14,,
ORD000145,BATTERY-AA,5,1018.15,,
ORD000146,SENSOR-T1,5,151.05,,
ORD000147,PANEL-40W,1,260.54,,
ORD000148,CABLE-2M,1,361.07,,
ORD000149,WIDGET-A,10,3957.3,,
ORD000150,WIDGET-B,4,732.88,,
ORD000151,GIZMO-PRO,1,218.88,,
ORD000152,ADAPTER-USB-C,3,1175.85,,
ORD000153,PANEL-40W,2,78.3,,
ORD000154,WIDGET-B,4,1388.92,,
ORD000155,GADGET-X,2,316.1,,
ORD000156,CABLE-2M,8,1987.2,,
ORD000157,CABLE-2M,6,1893.78,,
ORD000158,GADGET-X,5,1495.15,,
ORD000159,WIDGET-B,9,3233.07,,
ORD000160,PANEL-40W,6,746.46,,
ORD000161,PANEL-40W,10,922.1,,
ORD000162,GIZMO-PRO,4,1526.88,,
ORD000163,GIZMO-PRO,1,258.8,CHARGE_PAYMENT,
ORD000164,PANEL-40W,1,58.94,,
ORD000165,WIDGET-B,2,733.8,,
ORD000166,GIZMO-PRO,6,1223.52,,
ORD000167,MODULE-Z,6,1247.22,,
ORD000168,WIDGET-B,2,379.96,,
ORD000169,GIZMO-PRO,8,1450.08,,
ORD000170,GADGET-X,6,469.92,,
ORD000171,PANEL-40W,6,783.24,,
ORD000172,GADGET-X,7,1879.15,,
ORD000173,ADAPTER-USB-C,6,298.98,,
ORD000174,PANEL-40W,10,2042.5,,
ORD000175,SENSOR-T1,1,48.91,,
ORD000176,PANEL-40W,2,568.28,,
ORD000177,MODULE-Z,5,1775.25,,
ORD000178,MODULE-Z,6,2186.34,,
ORD000179,ADAPTER-USB-C,10,2460.1,,
ORD000180,SENSOR-T1,8,1771.84,,
ORD000181,ADAPTER-USB-C,6,624.36,,
ORD000182,BATTERY-AA,4,208.12,,
ORD000183,WIDGET-A,6,1663.56,,
ORD000184,GIZMO-PRO,10,1599.3,,
ORD000185,GADGET-X,10,2338.6,,
ORD000186,ADAPTER-USB-C,5,1642.5,,
ORD000187,WIDGET-A,9,722.7,,
ORD000188,WIDGET-A,7,310.38,,
ORD000189,BATTERY-AA,2,294.24,,
ORD000190,WIDGET-B,6,313.14,,
ORD000191,GADGET-X,2,606.8,,
ORD000192,GIZMO-PRO,4,823.28,,
ORD000193,MODULE-Z,8,1358.96,,
ORD000194,MODULE-Z,3,622.77,,
ORD000195,WIDGET-B,10,3676.9,,
ORD000196,MODULE-Z,1,326.24,,
ORD000197,ADAPTER-USB-C,9,2369.7,,
ORD000198,WIDGET-A,2,360.42,,
ORD000199,GADGET-X,4,1206.68,,
ORD000200,CABLE-2M,3,425.79,,
ORD000201,BATTERY-AA,5,620.7,,
ORD000202,ADAPTER-USB-C,5,1488.45,,
ORD000203,GADGET-X,3,1099.89,,
ORD000204,WIDGET-A,10,2028.1,,
ORD000205,MODULE-Z,2,190.2,,
ORD000206,PANEL-40W,4,992.04,,
ORD000207,BATTERY-AA,4,751.76,,
ORD000208,CABLE-2M,3,1098.18,,
ORD000209,BATTERY-AA,9,1819.89,,
ORD000210,CABLE-2M,6,1625.4,,
ORD000211,WIDGET-B,8,2782.24,,
ORD000212,GIZMO-PRO,3,973.62,,
ORD000213,BATTERY-AA,9,2827.62,,
ORD000214,WIDGET-A,4,1436.12,,
ORD000215,MODULE-Z,8,2582.16,,
ORD000216,PANEL-40W,3,533.97,,
ORD000217,GADGET-X,5,1825.4,,
ORD000218,GADGET-X,10,1212.7,,
ORD000219,GADGET-X,10,3127.4,RESERVE_INVENTORY,
ORD000220,WIDGET-B,6,735.42,,
ORD000221,WIDGET-B,8,2268.8,,
ORD000222,PANEL-40W,9,3112.11,,
ORD000223,GIZMO-PRO,7,653.59,,
ORD000224,ADAPTER-USB-C,4,136.56,,
ORD000225,ADAPTER-USB-C,3,1139.13,,
ORD000226,MODULE-Z,5,870.4,,
ORD000227,ADAPTER-USB-C,2,313.38,,
ORD000228,WIDGET-B,7,1937.81,,
ORD000229,WIDGET-B,8,197.52,,
ORD000230,ADAPTER-USB-C,4,526.08,,
ORD000231,WIDGET-A,4,1450.32,,
ORD000232,CABLE-2M,9,2744.1,,
ORD000233,CABLE-2M,9,2460.06,,
ORD000234,GIZMO-PRO,7,2085.65,,
ORD000235,SENSOR-T1,10,1985.3,,
ORD000236,ADAPTER-USB-C,7,385.42,,
ORD000237,WIDGET-B,3,832.56,,
ORD000238,GADGET-X,4,691.48,,
ORD000239,PANEL-40W,2,116.32,CREATE_ORDER,
ORD000240,WIDGET-B,6,2218.98,,
ORD000241,BATTERY-AA,3,797.85,,
ORD000242,CABLE-2M,8,1167.52,,
ORD000243,WIDGET-A,7,1770.86,,
ORD000244,GIZMO-PRO,10,2213.6,,
ORD000245,GIZMO-PRO,6,819.48,,
ORD000246,BATTERY-AA,7,685.02,,
ORD000247,SENSOR-T1,2,504.7,,
ORD000248,BATTERY-AA,5,1141.7,,
ORD000249,BATTERY-AA,9,664.83,,
ORD000250,BATTERY-AA,4,942.4,RESERVE_INVENTORY,
ORD000251,GADGET-X,4,806.4,,
ORD000252,MODULE-Z,6,329.22,,
ORD000253,SENSOR-T1,8,2844.24,,
ORD000254,GADGET-X,4,1454.16,,
ORD000255,BATTERY-AA,2,465.86,,
ORD000256,MODULE-Z,10,753.4,,
ORD000257,WIDGET-A,5,1401.65,,
ORD000258,PANEL-40W,6,2014.14,,
ORD000259,BATTERY-AA,2,385.3,,
ORD000260,GADGET-X,5,1536.6,,
ORD000261,CABLE-2M,10,2449.2,,
ORD000262,WIDGET-A,3,287.46,,
ORD000263,GADGET-X,9,1501.38,,
ORD000264,GADGET-X,6,1305.06,,
ORD000265,PANEL-40W,6,241.92,,
ORD000266,GADGET-X,7,2691.85,,
ORD000267,ADAPTER-USB-C,6,1058.04,,
ORD000268,PANEL-40W,7,2139.55,,
ORD000269,ADAPTER-USB-C,7,2334.78,,
ORD000270,WIDGET-B,9,1309.86,,
ORD000271,CABLE-2M,1,141.86,CREATE_SHIPMENT,
ORD000272,PANEL-40W,6,1834.32,,
ORD000273,PANEL-40W,2,225.7,,
ORD000274,GIZMO-PRO,9,3165.84,,
ORD000275,ADAPTER-USB-C,2,439.92,,
ORD000276,SENSOR-T1,7,2641.03,,
ORD000277,MODULE-Z,9,1621.17,,
ORD000278,GIZMO-PRO,7,1647.73,,
ORD000279,WIDGET-B,9,2889.9,,
ORD000280,BATTERY-AA,10,3813.7,RESERVE_INVENTORY,
ORD000281,WIDGET-A,6,512.16,,
ORD000282,ADAPTER-USB-C,9,1538.64,,
ORD000283,PANEL-40W,4,149.76,CHARGE_PAYMENT,
ORD000284,ADAPTER-USB-C,3,1124.7,,
ORD000285,ADAPTER-USB-C,4,388.08,,
ORD000286,WIDGET-A,4,560.12,,
ORD000287,ADAPTER-USB-C,1,85.32,,
ORD000288,BATTERY-AA,4,890.32,,
ORD000289,WIDGET-A,2,272.62,,
ORD000290,SENSOR-T1,7,2036.93,,
ORD000291,ADAPTER-USB-C,7,350.14,,
ORD000292,SENSOR-T1,2,580.0,,
ORD000293,GADGET-X,4,842.16,,
ORD000294,SENSOR-T1,6,1952.46,,
ORD000295,WIDGET-B,10,2160.5,,
ORD000296,GADGET-X,4,500.8,,
ORD000297,WIDGET-B,8,3148.4,,
ORD000298,BATTERY-AA,2,443.42,CHARGE_PAYMENT,
ORD000299,CABLE-2M,10,531.2,,
ORD000300,GIZMO-PRO,4,352.6,,
ORD000301,WIDGET-A,3,961.02,,
ORD000302,WIDGET-A,10,1954.2,,
ORD000303,CABLE-2M,1,373.12,,
ORD000304,GADGET-X,2,462.56,,
ORD000305,MODULE-Z,6,1620.84,,
ORD000306,BATTERY-AA,5,1060.7,,
ORD000307,BATTERY-AA,9,774.81,,
ORD000308,GADGET-X,2,502.14,,
ORD000309,ADAPTER-USB-C,9,2823.75,,
ORD000310,GIZMO-PRO,5,1029.3,,
ORD000311,PANEL-40W,10,2096.1,CREATE_ORDER,
ORD000312,GADGET-X,6,466.14,CREATE_SHIPMENT,
ORD000313,BATTERY-AA,8,2358.32,,
ORD000314,WIDGET-A,2,126.86,,
ORD000315,BATTERY-AA,10,3208.1,,
ORD000316,GADGET-X,1,138.18,CHARGE_PAYMENT,
ORD000317,BATTERY-AA,5,1554.05,,
ORD000318,BATTERY-AA,3,491.91,,
ORD000319,ADAPTER-USB-C,10,3189.5,CREATE_SHIPMENT,
ORD000320,GIZMO-PRO,1,68.8,,
ORD000321,PANEL-40W,3,224.82,,
ORD000322,WIDGET-A,1,111.44,,
ORD000323,GADGET-X,2,338.62,,
ORD000324,CABLE-2M,2,778.44,,
ORD000325,PANEL-40W,4,529.48,,
ORD000326,GIZMO-PRO,7,1367.73,,
ORD000327,MODULE-Z,5,740.4,,
ORD000328,PANEL-40W,4,140.32,,
ORD000329,WIDGET-A,6,1413.66,,
ORD000330,PANEL-40W,3,587.37,,
ORD000331,GIZMO-PRO,7,1147.44,CREATE_SHIPMENT,
ORD000332,GADGET-X,9,2930.22,,
ORD000333,CABLE-2M,4,982.72,,
ORD000334,ADAPTER-USB-C,8,1650.24,,
ORD000335,GADGET-X,8,781.92,,
ORD000336,WIDGET-B,1,282.71,,
ORD000337,SENSOR-T1,10,270.5,,
ORD000338,SENSOR-T1,9,1523.88,,
ORD000339,GIZMO-PRO,5,296.5,CHARGE_PAYMENT,
ORD000340,GIZMO-PRO,2,55.5,,
ORD000341,CABLE-2M,8,412.8,,
ORD000342,MODULE-Z,5,1564.35,,
ORD000343,WIDGET-A,5,848.55,,
ORD000344,WIDGET-A,4,309.32,,
ORD000345,WIDGET-A,4,554.68,,
ORD000346,BATTERY-AA,3,649.35,,
ORD000347,MODULE-Z,8,2185.2,,
ORD000348,GIZMO-PRO,5,1116.45,,
ORD000349,GADGET-X,7,1514.73,,
ORD000350,WIDGET-B,5,803.9,,
ORD000351,GADGET-X,1,342.32,,
ORD000352,ADAPTER-USB-C,10,243.2,,
ORD000353,SENSOR-T1,2,738.5,,
ORD000354,MODULE-Z,2,765.9,,
ORD000355,GIZMO-PRO,5,270.8,,
ORD000356,CABLE-2M,8,342.72,,
ORD000357,MODULE-Z,5,1044.5,,
ORD000358,GADGET-X,7,677.11,,
ORD000359,MODULE-Z,4,871.08,,
ORD000360,CABLE-2M,3,605.28,,
ORD000361,BATTERY-AA,5,1430.35,CREATE_SHIPMENT,
ORD000362,WIDGET-B,7,863.52,,
ORD000363,PANEL-40W,5,991.0,,
ORD000364,SENSOR-T1,2,57.88,,
ORD000365,MODULE-Z,10,1329.8,,
ORD000366,GADGET-X,8,1328.64,,
ORD000367,MODULE-Z,1,238.94,,
ORD000368,WIDGET-B,1,255.91,,
ORD000369,CABLE-2M,2,249.9,,
ORD000370,ADAPTER-USB-C,7,2710.47,,
ORD000371,GADGET-X,9,1113.21,,
ORD000372,ADAPTER-USB-C,1,76.95,,
ORD000373,GIZMO-PRO,5,1392.35,,
ORD000374,WIDGET-A,9,3530.88,CREATE_SHIPMENT,
ORD000375,BATTERY-AA,2,514.54,,
ORD000376,MODULE-Z,5,758.65,,
ORD000377,MODULE-Z,4,1137.0,,
ORD000378,GIZMO-PRO,3,241.8,,
ORD000379,ADAPTER-USB-C,10,1316.0,,
ORD000380,MODULE-Z,9,1884.42,,
ORD000381,MODULE-Z,6,1730.1,,
ORD000382,GADGET-X,2,791.76,,
ORD000383,SENSOR-T1,2,685.2,,
ORD000384,ADAPTER-USB-C,1,81.78,,
ORD000385,ADAPTER-USB-C,1,150.96,,
ORD000386,CABLE-2M,5,1460.3,,
ORD000387,MODULE-Z,3,440.58,,
ORD000388,PANEL-40W,3,706.92,,
ORD000389,GADGET-X,10,3012.9,,
ORD000390,GADGET-X,3,288.99,,
ORD000391,SENSOR-T1,4,1071.04,,
ORD000392,ADAPTER-USB-C,10,2836.6,,
ORD000393,GADGET-X,5,1406.4,,
ORD000394,CABLE-2M,7,2622.76,,
ORD000395,WIDGET-A,3,873.12,,
ORD000396,WIDGET-A,4,514.8,,
ORD000397,WIDGET-B,7,1017.94,CREATE_SHIPMENT,
ORD000398,WIDGET-B,5,933.7,,
ORD000399,SENSOR-T1,4,675.36,,
ORD000400,GADGET-X,10,1679.5,,
ORD000401,BATTERY-AA,5,1620.3,,
ORD000402,GADGET-X,2,462.7,,
ORD000403,ADAPTER-USB-C,7,460.18,,
ORD000404,WIDGET-A,5,1175.25,,
ORD000405,CABLE-2M,5,712.05,,
ORD000406,GIZMO-PRO,6,1377.36,,
ORD000407,GADGET-X,2,45.42,,
ORD000408,WIDGET-B,1,89.35,,
ORD000409,GIZMO-PRO,7,1428.14,,
ORD000410,BATTERY-AA,7,1622.6,,
ORD000411,PANEL-40W,10,1159.3,,
ORD000412,SENSOR-T1,4,1591.32,,
ORD000413,WIDGET-A,3,1037.28,,
ORD000414,BATTERY-AA,2,552.88,,
ORD000415,WIDGET-A,9,1240.2,,
ORD000416,WIDGET-A,4,176.84,,
ORD000417,BATTERY-AA,5,1639.2,,
ORD000418,ADAPTER-USB-C,7,959.14,,
ORD000419,WIDGET-B,8,1382.88,,
ORD000420,SENSOR-T1,10,289.3,,
ORD000421,GIZMO-PRO,6,1005.54,,
ORD000422,SENSOR-T1,6,1549.32,,
ORD000423,SENSOR-T1,5,226.7,,
ORD000424,PANEL-40W,2,241.12,,
ORD000425,GADGET-X,4,151.32,,
ORD000426,SENSOR-T1,4,349.48,,
ORD000427,GADGET-X,6,918.78,,
ORD000428,WIDGET-A,7,1476.86,,
ORD000429,MODULE-Z,9,3052.35,,
ORD000430,WIDGET-A,3,425.82,,
ORD000431,WIDGET-B,10,3952.5,,
ORD000432,GIZMO-PRO,8,1400.96,,
ORD000433,GADGET-X,5,232.9,,
ORD000434,MODULE-Z,3,946.56,,
ORD000435,WIDGET-A,3,892.44,,
ORD000436,WIDGET-A,4,1017.0,,
ORD000437,ADAPTER-USB-C,7,1482.88,,
ORD000438,WIDGET-B,2,676.48,,
ORD000439,ADAPTER-USB-C,7,1910.09,,
ORD000440,CABLE-2M,9,966.69,,
ORD000441,PANEL-40W,1,215.79,CREATE_SHIPMENT,
ORD000442,PANEL-40W,1,245.94,,
ORD000443,GADGET-X,9,1782.9,,
ORD000444,PANEL-40W,6,549.3,,
ORD000445,BATTERY-AA,7,279.58,,
ORD000446,ADAPTER-USB-C,2,217.94,,
ORD000447,GADGET-X,2,646.24,,
ORD000448,SENSOR-T1,2,180.54,CHARGE_PAYMENT,
ORD000449,MODULE-Z,8,790.56,CREATE_SHIPMENT,
ORD000450,SENSOR-T1,4,191.8,,
ORD000451,ADAPTER-USB-C,4,189.68,,
ORD000452,WIDGET-A,9,3506.67,RESERVE_INVENTORY,
ORD000453,GADGET-X,2,293.64,,
ORD000454,GIZMO-PRO,5,323.05,,
ORD000455,CABLE-2M,1,342.7,,
ORD000456,ADAPTER-USB-C,2,107.1,,
ORD000457,BATTERY-AA,6,2118.54,,
ORD000458,GIZMO-PRO,9,2465.91,,
ORD000459,WIDGET-A,6,1715.7,,
ORD000460,SENSOR-T1,10,992.6,,
ORD000461,GADGET-X,3,850.89,,
ORD000462,GADGET-X,5,320.45,,
ORD000463,PANEL-40W,10,1558.6,,
ORD000464,WIDGET-B,4,1199.12,,
ORD000465,SENSOR-T1,7,672.49,CHARGE_PAYMENT,
ORD000466,PANEL-40W,7,882.77,,
ORD000467,WIDGET-B,2,303.22,,
ORD000468,GIZMO-PRO,8,1920.96,,
ORD000469,SENSOR-T1,2,554.28,,
ORD000470,ADAPTER-USB-C,7,668.64,,
ORD000471,GIZMO-PRO,8,2104.56,,
ORD000472,MODULE-Z,5,1210.15,,
ORD000473,SENSOR-T1,5,1357.25,RESERVE_INVENTORY,REFUND_PAYMENT
ORD000474,GADGET-X,10,3602.4,,
ORD000475,CABLE-2M,5,749.0,,
ORD000476,PANEL-40W,2,454.9,,
ORD000477,GIZMO-PRO,2,640.48,CREATE_ORDER,
ORD000478,MODULE-Z,1,273.83,,
ORD000479,WIDGET-B,6,508.56,,
ORD000480,ADAPTER-USB-C,10,431.5,,
ORD000481,WIDGET-A,7,1292.76,,
ORD000482,BATTERY-AA,2,798.2,CREATE_SHIPMENT,
ORD000483,GIZMO-PRO,9,3564.99,,
ORD000484,MODULE-Z,3,647.73,,
ORD000485,WIDGET-B,1,83.4,,
ORD000486,PANEL-40W,5,1360.4,,
ORD000487,ADAPTER-USB-C,2,369.18,,
ORD000488,MODULE-Z,6,2273.52,,
ORD000489,WIDGET-A,2,306.84,,
ORD000490,BATTERY-AA,2,629.94,,
ORD000491,BATTERY-AA,10,673.4,,
ORD000492,GADGET-X,2,427.38,,
ORD000493,MODULE-Z,4,455.08,,
ORD000494,WIDGET-A,4,975.08,,
ORD000495,WIDGET-B,8,578.48,,
ORD000496,BATTERY-AA,3,224.1,,
ORD000497,GADGET-X,7,1783.88,,
ORD000498,WIDGET-B,7,2327.22,,
ORD000499,WIDGET-B,7,556.43,,
ORD000500,WIDGET-A,7,433.3,,
ORD000501,BATTERY-AA,1,168.11,,
ORD000502,GIZMO-PRO,5,1119.8,,
ORD000503,CABLE-2M,6,2162.1,,
ORD000504,BATTERY-AA,3,707.43,,
ORD000505,WIDGET-B,7,1804.25,,
ORD000506,PANEL-40W,5,518.1,,
ORD000507,ADAPTER-USB-C,7,1093.54,,
ORD000508,ADAPTER-USB-C,2,77.68,,
ORD000509,WIDGET-A,3,661.77,,
ORD000510,CABLE-2M,4,1106.04,,
ORD000511,WIDGET-A,6,939.9,,
ORD000512,BATTERY-AA,9,1846.89,CREATE_SHIPMENT,
ORD000513,WIDGET-B,1,281.28,,
ORD000514,GIZMO-PRO,6,2316.42,,
ORD000515,SENSOR-T1,4,1005.96,,
ORD000516,MODULE-Z,3,627.3,,
ORD000517,MODULE-Z,1,345.2,,
ORD000518,PANEL-40W,5,1634.6,,
ORD000519,MODULE-Z,7,378.84,,
ORD000520,WIDGET-B,2,341.48,,
ORD000521,SENSOR-T1,6,194.16,,
ORD000522,GADGET-X,5,1320.3,CREATE_SHIPMENT,REFUND_PAYMENT
ORD000523,WIDGET-B,9,653.67,,
ORD000524,WIDGET-A,10,3750.4,,
ORD000525,PANEL-40W,9,199.08,,
ORD000526,CABLE-2M,6,1669.56,,
ORD000527,WIDGET-B,3,950.79,,
ORD000528,GADGET-X,7,2153.41,,
ORD000529,WIDGET-B,8,1132.56,,
ORD000530,WIDGET-B,2,767.0,,
ORD000531,BATTERY-AA,2,574.28,,
ORD000532,BATTERY-AA,2,740.92,,
ORD000533,CABLE-2M,6,1342.8,,
ORD000534,WIDGET-B,3,1056.03,,
ORD000535,WIDGET-A,7,2615.06,,
ORD000536,ADAPTER-USB-C,8,1487.68,,
ORD000537,BATTERY-AA,8,479.92,,
ORD000538,GADGET-X,10,1431.5,RESERVE_INVENTORY,
ORD000539,CABLE-2M,10,3251.2,,
ORD000540,ADAPTER-USB-C,10,2437.5,,
ORD000541,PANEL-40W,3,607.74,,
ORD000542,MODULE-Z,2,570.04,,
ORD000543,SENSOR-T1,6,1785.36,,
ORD000544,SENSOR-T1,2,650.04,,
ORD000545,GIZMO-PRO,4,737.76,,
ORD000546,BATTERY-AA,3,1172.34,,
ORD000547,ADAPTER-USB-C,7,1434.86,,
ORD000548,PANEL-40W,2,556.38,,
ORD000549,GADGET-X,1,397.5,,
ORD000550,GADGET-X,9,1856.52,,
ORD000551,ADAPTER-USB-C,6,1957.14,,
ORD000552,GADGET-X,4,1578.8,,
ORD000553,PANEL-40W,6,395.46,,
ORD000554,PANEL-40W,3,1085.31,,
ORD000555,MODULE-Z,6,368.4,,
ORD000556,SENSOR-T1,10,3458.9,,
ORD000557,SENSOR-T1,2,229.4,CHARGE_PAYMENT,
ORD000558,SENSOR-T1,5,1165.5,,
ORD000559,WIDGET-B,5,155.1,,
ORD000560,BATTERY-AA,3,1056.15,,
ORD000561,BATTERY-AA,3,754.71,,
ORD000562,GADGET-X,9,2746.35,,
ORD000563,PANEL-40W,5,682.25,,
ORD000564,MODULE-Z,9,978.3,,
ORD000565,MODULE-Z,6,1782.66,,
ORD000566,BATTERY-AA,5,1175.45,,
ORD000567,GIZMO-PRO,2,761.9,,
ORD000568,WIDGET-B,5,1813.3,,
ORD000569,PANEL-40W,2,188.42,,
ORD000570,MODULE-Z,3,130.02,,
ORD000571,WIDGET-B,3,93.84,,
ORD000572,BATTERY-AA,9,443.97,,
ORD000573,GADGET-X,2,440.3,,
ORD000574,ADAPTER-USB-C,4,1417.04,,
ORD000575,GADGET-X,8,746.4,,
ORD000576,WIDGET-A,9,3394.62,,
ORD000577,WIDGET-B,3,1085.31,,
ORD000578,GIZMO-PRO,5,1883.9,,
